Country,Year,Rank
Bahrain,2010,1
Bahrain,2011,1
Bahrain,2012,3
Bahrain,2013,3
Bahrain,2014,4
Bahrain,2015,4
Bahrain,2016,4
Bahrain,2017,3
Bahrain,2018,4
Bahrain,2019,4
"Egypt, Arab Rep.",2010,2
"Egypt, Arab Rep.",2011,5
"Egypt, Arab Rep.",2012,6
"Egypt, Arab Rep.",2013,4
"Egypt, Arab Rep.",2014,5
"Egypt, Arab Rep.",2015,6
"Egypt, Arab Rep.",2016,9
"Egypt, Arab Rep.",2017,7
"Egypt, Arab Rep.",2018,6
"Egypt, Arab Rep.",2019,6
India,2010,3
India,2011,2
India,2012,4
India,2013,5
India,2014,7
India,2015,3
India,2016,3
India,2017,4
India,2018,3
India,2019,3
Kuwait,2010,4
Kuwait,2011,4
Kuwait,2012,1
Kuwait,2013,2
Kuwait,2014,2
Kuwait,2015,1
Kuwait,2016,2
Kuwait,2017,2
Kuwait,2018,2
Kuwait,2019,2
Mauritania,2010,5
Mauritania,2011,3
Mauritania,2012,2
Mauritania,2013,1
Mauritania,2014,1
Mauritania,2015,2
Mauritania,2016,1
Mauritania,2017,1
Mauritania,2018,1
Mauritania,2019,1
Nepal,2010,6
Nepal,2011,6
Nepal,2012,7
Nepal,2013,7
Nepal,2014,16
Nepal,2015,15
Nepal,2016,16
Nepal,2017,10
Nepal,2018,14
Nepal,2019,14
Niger,2010,7
Niger,2011,7
Niger,2012,5
Niger,2013,13
Niger,2014,11
Niger,2015,7
Niger,2016,10
Niger,2017,5
Niger,2018,7
Niger,2019,7
Nigeria,2010,8
Nigeria,2011,8
Nigeria,2012,9
Nigeria,2013,11
Nigeria,2014,13
Nigeria,2015,14
Nigeria,2016,13
Nigeria,2017,16
Nigeria,2018,16
Nigeria,2019,18
Qatar,2010,9
Qatar,2011,9
Qatar,2012,10
Qatar,2013,10
Qatar,2014,17
Qatar,2015,13
Qatar,2016,21
Qatar,2017,8
Qatar,2018,13
Qatar,2019,13
Saudi Arabia,2010,10
Saudi Arabia,2011,10
Saudi Arabia,2012,11
Saudi Arabia,2013,15
Saudi Arabia,2014,14
Saudi Arabia,2015,5
Saudi Arabia,2016,5
Saudi Arabia,2017,6
Saudi Arabia,2018,5
Saudi Arabia,2019,5
