Country,City,lat,lng,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM AQI Value,PM AQI Category
Russian Federation,Praskoveya,44.7444,44.2031,51,Moderate,1,Good,36,Good,0,Good,51,Moderate
Brazil,Presidente Dutra,-5.29,-44.49,41,Good,1,Good,5,Good,1,Good,41,Good
Brazil,Presidente Dutra,-11.2958,-41.9869,41,Good,1,Good,5,Good,1,Good,41,Good
Italy,Priolo Gargallo,37.1667,15.1833,66,Moderate,1,Good,39,Good,2,Good,66,Moderate
Poland,Przasnysz,53.0167,20.8833,34,Good,1,Good,34,Good,0,Good,20,Good
United States of America,Punta Gorda,16.1005,-88.8074,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
United States of America,Punta Gorda,26.8941,-82.0513,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
Belgium,Puurs,51.0761,4.2803,64,Moderate,1,Good,29,Good,7,Good,64,Moderate
Russian Federation,Pyatigorsk,44.05,43.0667,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
China,Qinzhou,21.95,108.6167,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate
Netherlands,Raalte,52.3833,6.2667,41,Good,1,Good,24,Good,6,Good,41,Good
France,Raismes,50.3892,3.4858,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
Italy,Ramacca,37.3833,14.7,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
United States of America,Phoenix,33.5722,-112.0892,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
Poland,Piaseczno,52.0667,21.0167,28,Good,1,Good,28,Good,2,Good,28,Good
Brazil,Pinheiral,-22.5128,-44.0008,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
Colombia,Plato,9.7919,-74.7872,67,Moderate,1,Good,16,Good,2,Good,67,Moderate
Romania,Poiana Mare,43.9333,23.0833,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
Russian Federation,Polevskoy,56.45,60.1833,31,Good,1,Good,31,Good,0,Good,17,Good
France,Pontarlier,46.9061,6.3547,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
United States of America,Pontiac,42.6493,-83.2878,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
United States of America,Pontiac,40.8894,-88.6409,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
Indonesia,Pontianak,-0.0206,109.3414,44,Good,1,Good,15,Good,0,Good,44,Good
Brazil,Porecatu,-22.7558,-51.3789,30,Good,1,Good,9,Good,2,Good,30,Good
Finland,Pori,61.4833,21.8,30,Good,1,Good,30,Good,1,Good,15,Good
South Africa,Port Elizabeth,-33.9581,25.6,79,Moderate,3,Good,18,Good,5,Good,79,Moderate
United States of America,Port Neches,29.9765,-93.9459,34,Good,1,Good,19,Good,7,Good,34,Good
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51.5906,-3.7986,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
United States of America,Portales,34.1754,-103.3565,77,Moderate,1,Good,34,Good,0,Good,77,Moderate
United States of America,Post Falls,47.7213,-116.9384,61,Moderate,1,Good,32,Good,3,Good,61,Moderate
Brazil,Pouso Alegre,-22.2281,-45.9336,32,Good,1,Good,7,Good,2,Good,32,Good
Russian Federation,Dalnegorsk,44.55,135.5833,29,Good,0,Good,29,Good,0,Good,25,Good
India,Darbhanga,26.17,85.9,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy
United States of America,Dayton,39.7805,-84.2003,45,Good,1,Good,32,Good,7,Good,45,Good
United States of America,Dayton,39.2592,-119.5653,45,Good,1,Good,32,Good,7,Good,45,Good
United States of America,Dayton,30.0315,-94.9158,45,Good,1,Good,32,Good,7,Good,45,Good
Belgium,Deinze,50.9833,3.5333,36,Good,1,Good,25,Good,3,Good,36,Good
Haiti,Delmas,18.55,-72.3,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups
United States of America,Deming,32.2631,-107.7525,72,Moderate,1,Good,26,Good,2,Good,72,Moderate
United Kingdom of Great Britain and Northern Ireland,Denton,33.2175,-97.1418,55,Moderate,0,Good,32,Good,1,Good,55,Moderate
United Kingdom of Great Britain and Northern Ireland,Denton,53.4554,-2.1122,55,Moderate,0,Good,32,Good,1,Good,55,Moderate
United States of America,Destin,30.395,-86.4701,31,Good,0,Good,31,Good,0,Good,25,Good
India,Dharmapuri,12.127,78.158,60,Moderate,1,Good,31,Good,1,Good,60,Moderate
Philippines,Dipolog,8.5872,123.3408,30,Good,1,Good,17,Good,0,Good,30,Good
Latvia,Dobele,56.6167,23.2667,44,Good,1,Good,34,Good,0,Good,44,Good
United States of America,Grandville,42.9004,-85.7564,47,Good,1,Good,37,Good,4,Good,47,Good
Netherlands,Grave,51.7667,5.7333,37,Good,0,Good,32,Good,2,Good,37,Good
United States of America,Green Valley,31.8393,-111.0009,44,Good,1,Good,14,Good,8,Good,44,Good
United States of America,Green Valley,39.3414,-77.24,44,Good,1,Good,14,Good,8,Good,44,Good
United States of America,Greendale,42.9371,-88.0018,58,Moderate,2,Good,14,Good,24,Good,58,Moderate
Colombia,Guamo,4.0833,-74.9167,89,Moderate,3,Good,3,Good,6,Good,89,Moderate
Italy,Guardiagrele,42.2,14.2167,52,Moderate,2,Good,38,Good,7,Good,52,Moderate
United Kingdom of Great Britain and Northern Ireland,Guildford,51.2365,-0.5703,51,Moderate,1,Good,25,Good,6,Good,51,Moderate
Russian Federation,Gukovo,48.05,39.9167,38,Good,1,Good,38,Good,0,Good,13,Good
United States of America,Hazelwood,38.7931,-90.3899,88,Moderate,2,Good,11,Good,20,Good,88,Moderate
Germany,Heddesheim,49.5053,8.6033,54,Moderate,1,Good,31,Good,3,Good,54,Moderate
Germany,Heiligenhaus,51.3167,6.9667,44,Good,1,Good,28,Good,3,Good,44,Good
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51.7526,-0.4692,51,Moderate,1,Good,26,Good,6,Good,51,Moderate
United States of America,Hicksville,40.7637,-73.5245,67,Moderate,2,Good,15,Good,23,Good,67,Moderate
Germany,Haiger,50.7422,8.2039,49,Good,1,Good,25,Good,3,Good,49,Good
China,Hangzhou,30.25,120.1675,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy
Germany,Harrislee,54.7972,9.3764,35,Good,0,Good,32,Good,0,Good,35,Good
United States of America,Harrison,40.7431,-74.1531,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,41.0236,-73.7193,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,36.2438,-93.1198,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,39.2584,-84.7868,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,44.1935,-88.2941,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,40.6374,-79.7173,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
Germany,Hasbergen,52.2167,7.9167,36,Good,0,Good,34,Good,1,Good,36,Good
France,Haubourdin,50.6092,2.9869,48,Good,1,Good,28,Good,4,Good,48,Good
United States of America,Taunton,51.019,-3.1,41,Good,1,Good,28,Good,10,Good,41,Good
United States of America,Taunton,41.9036,-71.0943,41,Good,1,Good,28,Good,10,Good,41,Good
New Zealand,Tauranga,-37.6833,176.1667,19,Good,0,Good,19,Good,1,Good,17,Good
Italy,Teano,41.25,14.0667,47,Good,1,Good,47,Good,1,Good,36,Good
India,Tekkali,18.6057,84.2355,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy
Brazil,Teodoro Sampaio,-22.5328,-52.1678,46,Good,1,Good,9,Good,1,Good,46,Good
Mexico,Tequila,20.8794,-103.8356,64,Moderate,1,Good,15,Good,2,Good,64,Moderate
Italy,Teramo,42.6589,13.7039,44,Good,1,Good,44,Good,1,Good,38,Good
China,Tianjin,39.1467,117.2056,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups
Philippines,Toboso,10.7167,123.5167,54,Moderate,1,Good,20,Good,0,Good,54,Moderate
Japan,Tokorozawa,35.7996,139.4686,60,Moderate,1,Good,44,Good,3,Good,60,Moderate
Mexico,Toluca,19.2925,-99.6569,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy
Brazil,Itapissuma,-7.7764,-34.8919,27,Good,0,Good,23,Good,1,Good,27,Good
Brazil,Itarantim,-15.66,-40.0658,23,Good,1,Good,7,Good,1,Good,23,Good
Brazil,Itumbiara,-18.4167,-49.2167,31,Good,1,Good,13,Good,0,Good,31,Good
El Salvador,Izalco,13.7333,-89.6667,90,Moderate,2,Good,22,Good,9,Good,90,Moderate
Russian Federation,Izberbash,42.5633,47.8636,51,Moderate,1,Good,38,Good,0,Good,51,Moderate
India,Jabalpur,23.1667,79.9333,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy
Brazil,Jaguaquara,-13.5308,-39.9708,22,Good,0,Good,9,Good,1,Good,22,Good
Poland,Jarocin,51.9667,17.5,47,Good,1,Good,27,Good,2,Good,47,Good
Philippines,Jasaan,8.65,124.75,59,Moderate,1,Good,32,Good,0,Good,59,Moderate
Nigeria,Ilobu,7.84,4.486,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups
Finland,Imatra,61.1833,28.7667,29,Good,1,Good,29,Good,1,Good,7,Good
Brazil,Indaial,-26.8978,-49.2319,73,Moderate,2,Good,2,Good,8,Good,73,Moderate
Philippines,Indang,14.2,120.8833,50,Good,0,Good,24,Good,0,Good,50,Good
Brazil,Itagi,-14.1628,-40.0058,25,Good,0,Good,9,Good,1,Good,25,Good
Nigeria,Iseyin,7.9667,3.6,90,Moderate,3,Good,18,Good,2,Good,90,Moderate
Mexico,Isla,18.0292,-95.5264,81,Moderate,2,Good,26,Good,3,Good,81,Moderate
Brazil,Itaitinga,-3.9689,-38.5278,29,Good,0,Good,20,Good,1,Good,29,Good
Brazil,Itapemirim,-21.0108,-40.8339,44,Good,1,Good,16,Good,1,Good,44,Good
South Sudan,Torit,4.4081,32.575,65,Moderate,1,Good,12,Good,0,Good,65,Moderate
United States of America,Trenton,40.2237,-74.7641,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
United States of America,Trenton,42.1394,-83.1929,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
United States of America,Trenton,39.4792,-84.462,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
